out,x,y,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
NS_0725_grass.out,113.55,6.666,0.000419351,0.000419351,0.000419351,0.000419351,0.000419351,0.000420432,0.577486947,0.000444165,2.023541677,0.000606005,1.049851198,1.745894232,0.00044719,1.36325264,1.548603095,0.000419477,0.000442918
d17964_herbs.out,112.2133,6.158333,0.627731945,0.915291574,1.304453112,1.139939313,0.905365637,0.657899624,0.653156975,0.917429505,0.708348712,0.965504333,1.015773599,0.777160938,1.004052024,1.071925121,1.271702704,NA,NA
DDA_grass.out,110.76,1.06,0.036725304,0,0.26542554,3.080096196,0.203567646,0.101296363,0.391756513,0.609870922,0.435127038,0.317567659,0.673074933,0.783571995,0.741107159,0.946244016,0.621272456,0.587275599,NA
G4_K12P1_grasswood.out,127.7335,2.684167,1.026980237,1.160462391,0.778109157,0.771261144,1.073750119,1.112276501,0.996289829,1.007077719,1.024465509,0.823161516,0.703965792,0.591973979,0.850764721,1.071119779,1.044143478,1.017575796,1.017847057
PB-A_grass.out,99.03,2.25,1.905417828,1.106028757,0.650577644,0.21425084,0.743033675,0.626666282,0.85107924,0.703383385,0.921755234,1.008726192,0.989640969,0,0.501739395,0.89744718,0.794961752,1.232675695,1.228079005
GEOB10069-3_C4.out,120.917,-9.594833,0.761512303,0.590076299,0.297338962,0.652555736,0.729894726,0.922365119,0.996427285,1.163212117,1.361208231,1.202054897,1.088318179,1.138122976,NA,NA,NA,NA,NA
PSS_nonforestOUT,98.85,2.265,1.386919096,1.155385139,0.773296846,0.465900434,0.229147843,0.309673157,1.095582509,0.919749314,0.989200372,0.85618695,0.802237279,1.118938127,NA,NA,NA,NA,NA
GeoB10053-7_grass.out,112.88,-8.68,0.353265911,0.370406439,0.257093792,0.180625875,0.194295049,0.382359273,1.239293487,0.952165344,1.497090263,1.520305044,1.591405875,NA,NA,NA,NA,NA,NA
G5_2_056POut,132.176333,-3.576,0.48372698,0.478867367,0.592060672,0.637750383,0.645448607,0.659649169,0.6965521,0.882738443,1.246875252,1.360628677,1.324568711,1.303739708,1.253036771,1.159584685,1.002920046,0.911446051,0.909719276
LL2.out,121.733,-2.663,0.530487365,0.320956135,0.36588529,0.203898776,0.409496694,0.834728734,1.290758055,1.983549247,NA,NA,NA,NA,NA,NA,NA,NA,NA
RD-3.out,105.983,-6.162,0.873650883,0.883768981,0.87064345,0.866412641,0.921301673,0.910676166,1.088478921,1.233986898,NA,NA,NA,NA,NA,NA,NA,NA,NA
KUM3.out,103.02,17.13,0.654160945,0.591257403,0.152298962,0.905798233,1.216250414,1.348767,1.178462508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G4_K4P3.out,127.750333,0.966833,1.026323556,1.16073037,0.777836376,0.77150325,1.07461133,1.112364827,0.998425287,1.007923301,1.025749307,0.818382177,0.704457132,0.589746406,0.849051619,1.073032691,1.042229646,1.019803481,0.991185974
BYK2.out,107.13,13.33,0.504268749,0.580872108,0.411304042,0.480254465,1.703013552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
TOW9.out,121.5159556,-2.732836452,-1.15372618,-1.079506188,-1.02894375,-1.4475441,-1.165255953,-0.727108274,-0.44397127,-0.00249137,1.156830135,0.808804009,1.242855104,1.36515384,1.194503177,0.847036075,0.792637221,-0.265780474,-0.08685675
BJ8_91GCC.out,118.38555,2.8739,-0.919569038,-0.914413424,-0.948790078,-0.956492772,-0.94431218,-0.945388124,-0.927347559,-0.966998152,-0.965297887,-0.983745926,NA,NA,NA,NA,NA,NA,NA
GEOB69_3.out,120.92,-9.6,-0.977011662,-0.996528847,-1.034471235,-0.989658203,-0.981538619,-0.956290495,-0.944587608,-0.924760291,-0.897190836,-0.920058349,-0.933018023,-0.927505717,NA,NA,NA,NA,NA
MAT10_2B.out,121.411667,-2.48,-1.011533149,-1.002501609,-1.036182014,-1.027426793,-1.021341404,-0.958249265,-0.91443905,-0.934311302,-0.921815801,-0.920358983,-0.902271721,-0.918548489,-0.929748958,-0.908069052,-0.954872793,-1.081461649,-1.020114742
SO189_144KL.out,98.31666667,1.155,-0.961279551,-0.943865842,-0.968735976,-0.95974843,-0.948921709,-0.950813896,-0.944614183,-0.929296926,-0.935807393,-0.962935266,-0.988993045,-0.991428741,NA,NA,NA,NA,NA
MC1.out,119.492,11.199,-1.273650417,-1.292784742,-1.345930235,-1.331859465,-1.275445308,-1.209034115,-1.145913535,-1.02787274,-0.855688887,-0.736318436,-0.717796916,-0.718330743,-0.724553516,-0.734773617,-0.756669004,-0.788734944,-0.829800698
GeoB10053_7.out,112.8725,-8.6765,-1.001300395,-1.045667547,-1.056766633,-1.018582184,-0.984164278,-0.891111493,-0.894310529,-0.874416675,-0.838240228,-0.848725214,-0.836444255,NA,NA,NA,NA,NA,NA
mbelen.out,98.149917,3.460583,NA,NA,NA,NA,-1.01010177,-1.015954838,-1.003498145,-1.0022177,-1.011511458,-0.996782999,-0.945044216,-0.926381617,-0.859581061,-0.863779612,-0.814943283,-0.770501183,NA
